🙂 slight_smile
👆️􁘙 point_up_hmn_s2
👆️􁘚 point_up_hmn_s3
👆️􁘛 point_up_hmn_b1
👆️􁘜 point_up_hmn_b2
👆️􁘝 point_up_hmn_b3
👆️􁘞 point_up_hmn_v1
👆️􁘟 point_up_hmn_v2
👆️􁘠 point_up_hmn_v3
👆️􁘡 point_up_hmn_m1
👆️􁘢 point_up_hmn_m2
👆️􁘣 point_up_hmn_m3
👆️􁘤 point_up_hmn_p1
👆️􁘥 point_up_hmn_p2
👆️􁘦 point_up_hmn_p3
👆️􁘧 point_up_hmn_e1
👆️􁘨 point_up_hmn_e2
👆️􁘩 point_up_hmn_e3
👆️􁘪 point_up_hmn_k1
👆️􁘫 point_up_hmn_k2
👆️􁘬 point_up_hmn_k3
👆️🏿 point_up_hmn_h1
👆️🏾 point_up_hmn_h2
👆️🏽 point_up_hmn_h3
👆️🏼 point_up_hmn_h4
👆️🏻 point_up_hmn_h5
👇️ point_down_hmn
👇️􁘀 point_down_hmn_r1
👇️􁘁 point_down_hmn_r2
👇️􁘂 point_down_hmn_r3
👇️􁘃 point_down_hmn_d1
👇️􁘄 point_down_hmn_d2
👇️􁘅 point_down_hmn_d3
👇️􁘆 point_down_hmn_o1
👇️􁘇 point_down_hmn_o2
👇️􁘈 point_down_hmn_o3
👇️􁘉 point_down_hmn_y1
👇️􁘊 point_down_hmn_y2
👇️􁘋 point_down_hmn_y3
👇️􁘌 point_down_hmn_l1
👇️􁘍 point_down_hmn_l2
👇️􁘎 point_down_hmn_l3
👇️􁘏 point_down_hmn_g1
👇️􁘐 point_down_hmn_g2
👇️􁘑 point_down_hmn_g3
👇️􁘒 point_down_hmn_t1
👇️􁘓 point_down_hmn_t2
👇️􁘔 point_down_hmn_t3
👇️􁘕 point_down_hmn_c1
👇️􁘖 point_down_hmn_c2
👇️􁘗 point_down_hmn_c3
👇️􁘘 point_down_hmn_s1
👇️􁘙 point_down_hmn_s2
👇️􁘚 point_down_hmn_s3
👇️􁘛 point_down_hmn_b1
👇️􁘜 point_down_hmn_b2
👇️􁘝 point_down_hmn_b3
👇️􁘞 point_down_hmn_v1
👇️􁘟 point_down_hmn_v2
👇️􁘠 point_down_hmn_v3
👇️􁘡 point_down_hmn_m1
👇️􁘢 point_down_hmn_m2
👇️􁘣 point_down_hmn_m3
👇️􁘤 point_down_hmn_p1
👇️􁘥 point_down_hmn_p2
👇️􁘦 point_down_hmn_p3
👇️􁘧 point_down_hmn_e1
👇️􁘨 point_down_hmn_e2
👇️􁘩 point_down_hmn_e3
👇️􁘪 point_down_hmn_k1
👇️􁘫 point_down_hmn_k2
👇️􁘬 point_down_hmn_k3
👇️🏿 point_down_hmn_h1
👇️🏾 point_down_hmn_h2
👇️🏽 point_down_hmn_h3
👇️🏼 point_down_hmn_h4
👇️🏻 point_down_hmn_h5
👈️ point_left_hmn
👈️􁘀 point_left_hmn_r1
👈️􁘁 point_left_hmn_r2
👈️􁘂 point_left_hmn_r3
👈️􁘃 point_left_hmn_d1
👈️􁘄 point_left_hmn_d2
👈️􁘅 point_left_hmn_d3
👈️􁘆 point_left_hmn_o1
👈️􁘇 point_left_hmn_o2
👈️􁘈 point_left_hmn_o3
👈️􁘉 point_left_hmn_y1
👈️􁘊 point_left_hmn_y2
👈️􁘋 point_left_hmn_y3
👈️􁘌 point_left_hmn_l1
👈️􁘍 point_left_hmn_l2
👈️􁘎 point_left_hmn_l3
👈️􁘏 point_left_hmn_g1
👈️􁘐 point_left_hmn_g2
👈️􁘑 point_left_hmn_g3
👈️􁘒 point_left_hmn_t1
👈️􁘓 point_left_hmn_t2
👈️􁘔 point_left_hmn_t3
👈️􁘕 point_left_hmn_c1
👈️􁘖 point_left_hmn_c2
👈️􁘗 point_left_hmn_c3
👈️􁘘 point_left_hmn_s1
👈️􁘙 point_left_hmn_s2
👈️􁘚 point_left_hmn_s3
👈️􁘛 point_left_hmn_b1
👈️􁘜 point_left_hmn_b2
👈️􁘝 point_left_hmn_b3
👈️􁘞 point_left_hmn_v1
👈️􁘟 point_left_hmn_v2
👈️􁘠 point_left_hmn_v3
👈️􁘡 point_left_hmn_m1
👈️􁘢 point_left_hmn_m2
👈️􁘣 point_left_hmn_m3
👈️􁘤 point_left_hmn_p1
👈️􁘥 point_left_hmn_p2
👈️􁘦 point_left_hmn_p3
👈️􁘧 point_left_hmn_e1
👈️􁘨 point_left_hmn_e2
👈️􁘩 point_left_hmn_e3
👈️􁘪 point_left_hmn_k1
👈️􁘫 point_left_hmn_k2
👈️􁘬 point_left_hmn_k3
👈️🏿 point_left_hmn_h1
👈️🏾 point_left_hmn_h2
👈️🏽 point_left_hmn_h3
👈️🏼 point_left_hmn_h4
👈️🏻 point_left_hmn_h5
👉️ point_right_hmn
👉️􁘀 point_right_hmn_r1
👉️􁘁 point_right_hmn_r2
👉️􁘂 point_right_hmn_r3
👉️􁘃 point_right_hmn_d1
👉️􁘄 point_right_hmn_d2
👉️􁘅 point_right_hmn_d3
👉️􁘆 point_right_hmn_o1
👉️􁘇 point_right_hmn_o2
👉️􁘈 point_right_hmn_o3
👉️􁘉 point_right_hmn_y1
👉️􁘊 point_right_hmn_y2
👉️􁘋 point_right_hmn_y3
👉️􁘌 point_right_hmn_l1
👉️􁘍 point_right_hmn_l2
👉️􁘎 point_right_hmn_l3
👉️􁘏 point_right_hmn_g1
👉️􁘐 point_right_hmn_g2
👉️􁘑 point_right_hmn_g3
👉️􁘒 point_right_hmn_t1
👉️􁘓 point_right_hmn_t2
👉️􁘔 point_right_hmn_t3
👉️􁘕 point_right_hmn_c1
👉️􁘖 point_right_hmn_c2
👉️􁘗 point_right_hmn_c3
👉️􁘘 point_right_hmn_s1
👉️􁘙 point_right_hmn_s2
👉️􁘚 point_right_hmn_s3
👉️􁘛 point_right_hmn_b1
👉️􁘜 point_right_hmn_b2
👉️􁘝 point_right_hmn_b3
👉️􁘞 point_right_hmn_v1
👉️􁘟 point_right_hmn_v2
👉️􁘠 point_right_hmn_v3
👉️􁘡 point_right_hmn_m1
👉️􁘢 point_right_hmn_m2
👉️􁘣 point_right_hmn_m3
👉️􁘤 point_right_hmn_p1
👉️􁘥 point_right_hmn_p2
👉️􁘦 point_right_hmn_p3
👉️􁘧 point_right_hmn_e1
👉️􁘨 point_right_hmn_e2
👉️􁘩 point_right_hmn_e3
👉️􁘪 point_right_hmn_k1
👉️􁘫 point_right_hmn_k2
👉️􁘬 point_right_hmn_k3
👉️🏿 point_right_hmn_h1
👉️🏾 point_right_hmn_h2
👉️🏽 point_right_hmn_h3
👉️🏼 point_right_hmn_h4
👉️🏻 point_right_hmn_h5
✊ fist_hmn
✊􁘀 fist_hmn_r1
✊􁘁 fist_hmn_r2
✊􁘂 fist_hmn_r3
✊􁘃 fist_hmn_d1
✊􁘄 fist_hmn_d2
✊􁘅 fist_hmn_d3
✊􁘆 fist_hmn_o1
✊􁘇 fist_hmn_o2
✊􁘈 fist_hmn_o3
✊􁘉 fist_hmn_y1
✊􁘊 fist_hmn_y2
✊􁘋 fist_hmn_y3
✊􁘌 fist_hmn_l1
✊􁘍 fist_hmn_l2
✊􁘎 fist_hmn_l3
✊􁘏 fist_hmn_g1
✊􁘐 fist_hmn_g2
✊􁘑 fist_hmn_g3
✊􁘒 fist_hmn_t1
✊􁘓 fist_hmn_t2
✊􁘔 fist_hmn_t3
✊􁘕 fist_hmn_c1
✊􁘖 fist_hmn_c2
✊􁘗 fist_hmn_c3
✊􁘘 fist_hmn_s1
✊􁘙 fist_hmn_s2
✊􁘚 fist_hmn_s3
✊􁘛 fist_hmn_b1
✊􁘜 fist_hmn_b2
✊􁘝 fist_hmn_b3
✊􁘞 fist_hmn_v1
✊􁘟 fist_hmn_v2
✊􁘠 fist_hmn_v3
✊􁘡 fist_hmn_m1
✊􁘢 fist_hmn_m2
✊􁘣 fist_hmn_m3
✊􁘤 fist_hmn_p1
✊􁘥 fist_hmn_p2
✊􁘦 fist_hmn_p3
✊􁘧 fist_hmn_e1
✊􁘨 fist_hmn_e2
✊􁘩 fist_hmn_e3
✊􁘪 fist_hmn_k1
✊􁘫 fist_hmn_k2
✊􁘬 fist_hmn_k3
✊🏿 fist_hmn_h1
✊🏾 fist_hmn_h2
✊🏽 fist_hmn_h3
✊🏼 fist_hmn_h4
✊🏻 fist_hmn_h5
🤛 fist_facing_left_hmn
🤛􁘀 fist_facing_left_hmn_r1
🤛􁘁 fist_facing_left_hmn_r2
🤛􁘂 fist_facing_left_hmn_r3
🤛􁘃 fist_facing_left_hmn_d1
🤛􁘄 fist_facing_left_hmn_d2
🤛􁘅 fist_facing_left_hmn_d3
🤛􁘆 fist_facing_left_hmn_o1
🤛􁘇 fist_facing_left_hmn_o2
🤛􁘈 fist_facing_left_hmn_o3
🤛􁘉 fist_facing_left_hmn_y1
🤛􁘊 fist_facing_left_hmn_y2
🤛􁘋 fist_facing_left_hmn_y3
🤛􁘌 fist_facing_left_hmn_l1
🤛􁘍 fist_facing_left_hmn_l2
🤛􁘎 fist_facing_left_hmn_l3
🤛􁘏 fist_facing_left_hmn_g1
🤛􁘐 fist_facing_left_hmn_g2
🤛􁘑 fist_facing_left_hmn_g3
🤛􁘒 fist_facing_left_hmn_t1
🤛􁘓 fist_facing_left_hmn_t2
🤛􁘔 fist_facing_left_hmn_t3
🤛􁘕 fist_facing_left_hmn_c1
🤛􁘖 fist_facing_left_hmn_c2
🤛􁘗 fist_facing_left_hmn_c3
🤛􁘘 fist_facing_left_hmn_s1
🤛􁘙 fist_facing_left_hmn_s2
🤛􁘚 fist_facing_left_hmn_s3
🤛􁘛 fist_facing_left_hmn_b1
🤛􁘜 fist_facing_left_hmn_b2
🤛􁘝 fist_facing_left_hmn_b3
🤛􁘞 fist_facing_left_hmn_v1
🤛􁘟 fist_facing_left_hmn_v2
🤛􁘠 fist_facing_left_hmn_v3
🤛􁘡 fist_facing_left_hmn_m1
🤛􁘢 fist_facing_left_hmn_m2
🤛􁘣 fist_facing_left_hmn_m3
🤛􁘤 fist_facing_left_hmn_p1
🤛􁘥 fist_facing_left_hmn_p2
🤛􁘦 fist_facing_left_hmn_p3
🤛􁘧 fist_facing_left_hmn_e1
🤛􁘨 fist_facing_left_hmn_e2
🤛􁘩 fist_facing_left_hmn_e3
🤛􁘪 fist_facing_left_hmn_k1
🤛􁘫 fist_facing_left_hmn_k2
🤛􁘬 fist_facing_left_hmn_k3
🤛🏿 fist_facing_left_hmn_h1
🤛🏾 fist_facing_left_hmn_h2
🤛🏽 fist_facing_left_hmn_h3
🤛🏼 fist_facing_left_hmn_h4
🤛🏻 fist_facing_left_hmn_h5
🤜 fist_facing_right_hmn
🤜􁘀 fist_facing_right_hmn_r1
🤜􁘁 fist_facing_right_hmn_r2
🤜􁘂 fist_facing_right_hmn_r3
🤜􁘃 fist_facing_right_hmn_d1
🤜􁘄 fist_facing_right_hmn_d2
🤜􁘅 fist_facing_right_hmn_d3
🤜􁘆 fist_facing_right_hmn_o1
🤜􁘇 fist_facing_right_hmn_o2
🤜􁘈 fist_facing_right_hmn_o3
🤜􁘉 fist_facing_right_hmn_y1
🤜􁘊 fist_facing_right_hmn_y2
🤜􁘋 fist_facing_right_hmn_y3
🤜􁘌 fist_facing_right_hmn_l1
🤜􁘍 fist_facing_right_hmn_l2
🤜􁘎 fist_facing_right_hmn_l3
🤜􁘏 fist_facing_right_hmn_g1
🤜􁘐 fist_facing_right_hmn_g2
🤜􁘑 fist_facing_right_hmn_g3
🤜􁘒 fist_facing_right_hmn_t1
🤜􁘓 fist_facing_right_hmn_t2
🤜􁘔 fist_facing_right_hmn_t3
🤜􁘕 fist_facing_right_hmn_c1
🤜􁘖 fist_facing_right_hmn_c2
🤜􁘗 fist_facing_right_hmn_c3
🤜􁘘 fist_facing_right_hmn_s1
🤜􁘙 fist_facing_right_hmn_s2
🤜􁘚 fist_facing_right_hmn_s3
🤜􁘛 fist_facing_right_hmn_b1
🤜􁘜 fist_facing_right_hmn_b2
🤜􁘝 fist_facing_right_hmn_b3
🤜􁘞 fist_facing_right_hmn_v1
🤜􁘟 fist_facing_right_hmn_v2
🤜􁘠 fist_facing_right_hmn_v3
🤜􁘡 fist_facing_right_hmn_m1
🤜􁘢 fist_facing_right_hmn_m2
🤜􁘣 fist_facing_right_hmn_m3
🤜􁘤 fist_facing_right_hmn_p1
🤜􁘥 fist_facing_right_hmn_p2
🤜􁘦 fist_facing_right_hmn_p3
🤜􁘧 fist_facing_right_hmn_e1
🤜􁘨 fist_facing_right_hmn_e2
🤜􁘩 fist_facing_right_hmn_e3
🤜􁘪 fist_facing_right_hmn_k1
🤜􁘫 fist_facing_right_hmn_k2
🤜􁘬 fist_facing_right_hmn_k3
🤜🏿 fist_facing_right_hmn_h1
🤜🏾 fist_facing_right_hmn_h2
🤜🏽 fist_facing_right_hmn_h3
🤜🏼 fist_facing_right_hmn_h4
🤜🏻 fist_facing_right_hmn_h5
👊 punch_hmn
👊􁘀 punch_hmn_r1
👊􁘁 punch_hmn_r2
👊􁘂 punch_hmn_r3
👊􁘃 punch_hmn_d1
👊􁘄 punch_hmn_d2
👊􁘅 punch_hmn_d3
👊􁘆 punch_hmn_o1
👊􁘇 punch_hmn_o2
👊􁘈 punch_hmn_o3
👊􁘉 punch_hmn_y1
👊􁘊 punch_hmn_y2
👊􁘋 punch_hmn_y3
👊􁘌 punch_hmn_l1
👊􁘍 punch_hmn_l2
👊􁘎 punch_hmn_l3
👊􁘏 punch_hmn_g1
👊􁘐 punch_hmn_g2
👊􁘑 punch_hmn_g3
👊􁘒 punch_hmn_t1
👊􁘓 punch_hmn_t2
👊􁘔 punch_hmn_t3
👊􁘕 punch_hmn_c1
👊􁘖 punch_hmn_c2
👊􁘗 punch_hmn_c3
👊􁘘 punch_hmn_s1
👊􁘙 punch_hmn_s2
👊􁘚 punch_hmn_s3
👊􁘛 punch_hmn_b1
👊􁘜 punch_hmn_b2
👊􁘝 punch_hmn_b3
👊􁘞 punch_hmn_v1
👊􁘟 punch_hmn_v2
👊􁘠 punch_hmn_v3
👊􁘡 punch_hmn_m1
👊􁘢 punch_hmn_m2
👊􁘣 punch_hmn_m3
👊􁘤 punch_hmn_p1
👊􁘥 punch_hmn_p2
👊􁘦 punch_hmn_p3
👊􁘧 punch_hmn_e1
👊􁘨 punch_hmn_e2
👊􁘩 punch_hmn_e3
👊􁘪 punch_hmn_k1
👊􁘫 punch_hmn_k2
👊􁘬 punch_hmn_k3
👊🏿 punch_hmn_h1
👊🏾 punch_hmn_h2
👊🏽 punch_hmn_h3
👊🏼 punch_hmn_h4
👊🏻 punch_hmn_h5
👌 ok_hand_hmn
👌􁘀 ok_hand_hmn_r1
👌􁘁 ok_hand_hmn_r2
👌􁘂 ok_hand_hmn_r3
👌􁘃 ok_hand_hmn_d1
👌􁘄 ok_hand_hmn_d2
👌􁘅 ok_hand_hmn_d3
👌􁘆 ok_hand_hmn_o1
👌􁘇 ok_hand_hmn_o2
👌􁘈 ok_hand_hmn_o3
👌􁘉 ok_hand_hmn_y1
👌􁘊 ok_hand_hmn_y2
👌􁘋 ok_hand_hmn_y3
👌􁘌 ok_hand_hmn_l1
👌􁘍 ok_hand_hmn_l2
👌􁘎 ok_hand_hmn_l3
👌􁘏 ok_hand_hmn_g1
👌􁘐 ok_hand_hmn_g2
👌􁘑 ok_hand_hmn_g3
👌􁘒 ok_hand_hmn_t1
👌􁘓 ok_hand_hmn_t2
👌􁘔 ok_hand_hmn_t3
👌􁘕 ok_hand_hmn_c1
👌􁘖 ok_hand_hmn_c2
👌􁘗 ok_hand_hmn_c3
👌􁘘 ok_hand_hmn_s1
👌􁘙 ok_hand_hmn_s2
👌􁘚 ok_hand_hmn_s3
👌􁘛 ok_hand_hmn_b1
👌􁘜 ok_hand_hmn_b2
👌􁘝 ok_hand_hmn_b3
👌􁘞 ok_hand_hmn_v1
👌􁘟 ok_hand_hmn_v2
👌􁘠 ok_hand_hmn_v3
👌􁘡 ok_hand_hmn_m1
👌􁘢 ok_hand_hmn_m2
👌􁘣 ok_hand_hmn_m3
👌􁘤 ok_hand_hmn_p1
👌􁘥 ok_hand_hmn_p2
👌􁘦 ok_hand_hmn_p3
👌􁘧 ok_hand_hmn_e1
👌􁘨 ok_hand_hmn_e2
👌􁘩 ok_hand_hmn_e3
👌􁘪 ok_hand_hmn_k1
👌􁘫 ok_hand_hmn_k2
👌􁘬 ok_hand_hmn_k3
👌🏿 ok_hand_hmn_h1
👌🏾 ok_hand_hmn_h2
👌🏽 ok_hand_hmn_h3
👌🏼 ok_hand_hmn_h4
👌🏻 ok_hand_hmn_h5
🤌 pinched_fingers_hmn
🤌􁘀 pinched_fingers_hmn_r1
🤌􁘁 pinched_fingers_hmn_r2
🤌􁘂 pinched_fingers_hmn_r3
🤌􁘃 pinched_fingers_hmn_d1
🤌􁘄 pinched_fingers_hmn_d2
🤌􁘅 pinched_fingers_hmn_d3
🤌􁘆 pinched_fingers_hmn_o1
🤌􁘇 pinched_fingers_hmn_o2
🤌􁘈 pinched_fingers_hmn_o3
🤌􁘉 pinched_fingers_hmn_y1
🤌􁘊 pinched_fingers_hmn_y2
🤌􁘋 pinched_fingers_hmn_y3
🤌􁘌 pinched_fingers_hmn_l1
🤌􁘍 pinched_fingers_hmn_l2
🤌􁘎 pinched_fingers_hmn_l3
🤌􁘏 pinched_fingers_hmn_g1
🤌􁘐 pinched_fingers_hmn_g2
🤌􁘑 pinched_fingers_hmn_g3
🤌􁘒 pinched_fingers_hmn_t1
🤌􁘓 pinched_fingers_hmn_t2
🤌􁘔 pinched_fingers_hmn_t3
🤌􁘕 pinched_fingers_hmn_c1
🤌􁘖 pinched_fingers_hmn_c2
🤌􁘗 pinched_fingers_hmn_c3
🤌􁘘 pinched_fingers_hmn_s1
🤌􁘙 pinched_fingers_hmn_s2
🤌􁘚 pinched_fingers_hmn_s3
🤌􁘛 pinched_fingers_hmn_b1
🤌􁘜 pinched_fingers_hmn_b2
🤌􁘝 pinched_fingers_hmn_b3
🤌􁘞 pinched_fingers_hmn_v1
🤌􁘟 pinched_fingers_hmn_v2
🤌􁘠 pinched_fingers_hmn_v3
🤌􁘡 pinched_fingers_hmn_m1
🤌􁘢 pinched_fingers_hmn_m2
🤌􁘣 pinched_fingers_hmn_m3
🤌􁘤 pinched_fingers_hmn_p1
🤌􁘥 pinched_fingers_hmn_p2
🤌􁘦 pinched_fingers_hmn_p3
🤌􁘧 pinched_fingers_hmn_e1
🤌􁘨 pinched_fingers_hmn_e2
🤌􁘩 pinched_fingers_hmn_e3
🤌􁘪 pinched_fingers_hmn_k1
🤌􁘫 pinched_fingers_hmn_k2
🤌􁘬 pinched_fingers_hmn_k3
🤌🏿 pinched_fingers_hmn_h1
🤌🏾 pinched_fingers_hmn_h2
🤌🏽 pinched_fingers_hmn_h3
🤌🏼 pinched_fingers_hmn_h4
🤌🏻 pinched_fingers_hmn_h5
👋 wave_hmn
👋􁘀 wave_hmn_r1
👋􁘁 wave_hmn_r2
👋􁘂 wave_hmn_r3
👋􁘃 wave_hmn_d1
👋􁘄 wave_hmn_d2
👋􁘅 wave_hmn_d3
👋􁘆 wave_hmn_o1
👋􁘇 wave_hmn_o2
👋􁘈 wave_hmn_o3
👋􁘉 wave_hmn_y1
👋􁘊 wave_hmn_y2
👋􁘋 wave_hmn_y3
👋􁘌 wave_hmn_l1
👋􁘍 wave_hmn_l2
👋􁘎 wave_hmn_l3
👋􁘏 wave_hmn_g1
👋􁘐 wave_hmn_g2
👋􁘑 wave_hmn_g3
👋􁘒 wave_hmn_t1
👋􁘓 wave_hmn_t2
👋􁘔 wave_hmn_t3
👋􁘕 wave_hmn_c1
👋􁘖 wave_hmn_c2
👋􁘗 wave_hmn_c3
👋􁘘 wave_hmn_s1
👋􁘙 wave_hmn_s2
👋􁘚 wave_hmn_s3
👋􁘛 wave_hmn_b1
👋􁘜 wave_hmn_b2
👋􁘝 wave_hmn_b3
👋􁘞 wave_hmn_v1
👋􁘟 wave_hmn_v2
👋􁘠 wave_hmn_v3
👋􁘡 wave_hmn_m1
👋􁘢 wave_hmn_m2
👋􁘣 wave_hmn_m3
👋􁘤 wave_hmn_p1
👋􁘥 wave_hmn_p2
👋􁘦 wave_hmn_p3
👋􁘧 wave_hmn_e1
👋􁘨 wave_hmn_e2
👋􁘩 wave_hmn_e3
👋􁘪 wave_hmn_k1
👋􁘫 wave_hmn_k2
👋􁘬 wave_hmn_k3
👋🏿 wave_hmn_h1
👋🏾 wave_hmn_h2
👋🏽 wave_hmn_h3
👋🏼 wave_hmn_h4
👋🏻 wave_hmn_h5
👏 clap_hmn
👏􁘀 clap_hmn_r1
👏􁘁 clap_hmn_r2
👏􁘂 clap_hmn_r3
👏􁘃 clap_hmn_d1
👏􁘄 clap_hmn_d2
👏􁘅 clap_hmn_d3
👏􁘆 clap_hmn_o1
👏􁘇 clap_hmn_o2
👏􁘈 clap_hmn_o3
👏􁘉 clap_hmn_y1
👏􁘊 clap_hmn_y2
👏􁘋 clap_hmn_y3
👏􁘌 clap_hmn_l1
👏􁘍 clap_hmn_l2
👏􁘎 clap_hmn_l3
👏􁘏 clap_hmn_g1
👏􁘐 clap_hmn_g2
👏􁘑 clap_hmn_g3
👏􁘒 clap_hmn_t1
👏􁘓 clap_hmn_t2
👏􁘔 clap_hmn_t3
👏􁘕 clap_hmn_c1
👏􁘖 clap_hmn_c2
👏􁘗 clap_hmn_c3
👏􁘘 clap_hmn_s1
👏􁘙 clap_hmn_s2
👏􁘚 clap_hmn_s3
👏􁘛 clap_hmn_b1
👏􁘜 clap_hmn_b2
👏􁘝 clap_hmn_b3
👏􁘞 clap_hmn_v1
👏􁘟 clap_hmn_v2
👏􁘠 clap_hmn_v3
👏􁘡 clap_hmn_m1
👏􁘢 clap_hmn_m2
👏􁘣 clap_hmn_m3
👏􁘤 clap_hmn_p1
👏􁘥 clap_hmn_p2
👏􁘦 clap_hmn_p3
👏􁘧 clap_hmn_e1
👏􁘨 clap_hmn_e2
👏􁘩 clap_hmn_e3
👏􁘪 clap_hmn_k1
👏􁘫 clap_hmn_k2
👏􁘬 clap_hmn_k3
👏🏿 clap_hmn_h1
👏🏾 clap_hmn_h2
👏🏽 clap_hmn_h3
👏🏼 clap_hmn_h4
👏🏻 clap_hmn_h5
🙌 raised_hands_hmn
🙌􁘀 raised_hands_hmn_r1
🙌􁘁 raised_hands_hmn_r2
🙌􁘂 raised_hands_hmn_r3
🙌􁘃 raised_hands_hmn_d1
🙌􁘄 raised_hands_hmn_d2
🙌􁘅 raised_hands_hmn_d3
🙌􁘆 raised_hands_hmn_o1
🙌􁘇 raised_hands_hmn_o2
🙌􁘈 raised_hands_hmn_o3
🙌􁘉 raised_hands_hmn_y1
🙌􁘊 raised_hands_hmn_y2
🙌􁘋 raised_hands_hmn_y3
🙌􁘌 raised_hands_hmn_l1
🙌􁘍 raised_hands_hmn_l2
🙌􁘎 raised_hands_hmn_l3
🙌􁘏 raised_hands_hmn_g1
🙌􁘐 raised_hands_hmn_g2
🙌􁘑 raised_hands_hmn_g3
🙌􁘒 raised_hands_hmn_t1
🙌􁘓 raised_hands_hmn_t2
🙌􁘔 raised_hands_hmn_t3
🙌􁘕 raised_hands_hmn_c1
🙌􁘖 raised_hands_hmn_c2
🙌􁘗 raised_hands_hmn_c3
🙌􁘘 raised_hands_hmn_s1
🙌􁘙 raised_hands_hmn_s2
🙌􁘚 raised_hands_hmn_s3
🙌􁘛 raised_hands_hmn_b1
🙌􁘜 raised_hands_hmn_b2
🙌􁘝 raised_hands_hmn_b3
🙌􁘞 raised_hands_hmn_v1
🙌􁘟 raised_hands_hmn_v2
🙌􁘠 raised_hands_hmn_v3
🙌􁘡 raised_hands_hmn_m1
🙌􁘢 raised_hands_hmn_m2
🙌􁘣 raised_hands_hmn_m3
🙌􁘤 raised_hands_hmn_p1
🙌􁘥 raised_hands_hmn_p2
🙌􁘦 raised_hands_hmn_p3
🙌􁘧 raised_hands_hmn_e1
🙌􁘨 raised_hands_hmn_e2
🙌􁘩 raised_hands_hmn_e3
🙌􁘪 raised_hands_hmn_k1
🙌􁘫 raised_hands_hmn_k2
🙌􁘬 raised_hands_hmn_k3
🙌🏿 raised_hands_hmn_h1
🙌🏾 raised_hands_hmn_h2
🙌🏽 raised_hands_hmn_h3
🙌🏼 raised_hands_hmn_h4
🙌🏻 raised_hands_hmn_h5
👐 open_hands_hmn
👐􁘀 open_hands_hmn_r1
👐􁘁 open_hands_hmn_r2
👐􁘂 open_hands_hmn_r3
👐􁘃 open_hands_hmn_d1
👐􁘄 open_hands_hmn_d2
👐􁘅 open_hands_hmn_d3
👐􁘆 open_hands_hmn_o1
👐􁘇 open_hands_hmn_o2
👐􁘈 open_hands_hmn_o3
👐􁘉 open_hands_hmn_y1
👐􁘊 open_hands_hmn_y2
👐􁘋 open_hands_hmn_y3
👐􁘌 open_hands_hmn_l1
👐􁘍 open_hands_hmn_l2
👐􁘎 open_hands_hmn_l3
👐􁘏 open_hands_hmn_g1
👐􁘐 open_hands_hmn_g2
👐􁘑 open_hands_hmn_g3
👐􁘒 open_hands_hmn_t1
👐􁘓 open_hands_hmn_t2
👐􁘔 open_hands_hmn_t3
👐􁘕 open_hands_hmn_c1
👐􁘖 open_hands_hmn_c2
👐􁘗 open_hands_hmn_c3
👐􁘘 open_hands_hmn_s1
👐􁘙 open_hands_hmn_s2
👐􁘚 open_hands_hmn_s3
👐􁘛 open_hands_hmn_b1
👐􁘜 open_hands_hmn_b2
👐􁘝 open_hands_hmn_b3
👐􁘞 open_hands_hmn_v1
👐􁘟 open_hands_hmn_v2
👐􁘠 open_hands_hmn_v3
👐􁘡 open_hands_hmn_m1
👐􁘢 open_hands_hmn_m2
👐􁘣 open_hands_hmn_m3
👐􁘤 open_hands_hmn_p1
👐􁘥 open_hands_hmn_p2
👐􁘦 open_hands_hmn_p3
👐􁘧 open_hands_hmn_e1
👐􁘨 open_hands_hmn_e2
👐􁘩 open_hands_hmn_e3
👐􁘪 open_hands_hmn_k1
👐􁘫 open_hands_hmn_k2
👐􁘬 open_hands_hmn_k3
👐🏿 open_hands_hmn_h1
👐🏾 open_hands_hmn_h2
👐🏽 open_hands_hmn_h3
👐🏼 open_hands_hmn_h4
👐🏻 open_hands_hmn_h5
🤲 palms_up_hmn
🤲􁘀 palms_up_hmn_r1
🤲􁘁 palms_up_hmn_r2
🤲􁘂 palms_up_hmn_r3
🤲􁘃 palms_up_hmn_d1
🤲􁘄 palms_up_hmn_d2
🤲􁘅 palms_up_hmn_d3
🤲􁘆 palms_up_hmn_o1
🤲􁘇 palms_up_hmn_o2
🤲􁘈 palms_up_hmn_o3
🤲􁘉 palms_up_hmn_y1
🤲􁘊 palms_up_hmn_y2
🤲􁘋 palms_up_hmn_y3
🤲􁘌 palms_up_hmn_l1
🤲􁘍 palms_up_hmn_l2
🤲􁘎 palms_up_hmn_l3
🤲􁘏 palms_up_hmn_g1
🤲􁘐 palms_up_hmn_g2
🤲􁘑 palms_up_hmn_g3
🤲􁘒 palms_up_hmn_t1
🤲􁘓 palms_up_hmn_t2
🤲􁘔 palms_up_hmn_t3
🤲􁘕 palms_up_hmn_c1
🤲􁘖 palms_up_hmn_c2
🤲􁘗 palms_up_hmn_c3
🤲􁘘 palms_up_hmn_s1
🤲􁘙 palms_up_hmn_s2
🤲􁘚 palms_up_hmn_s3
🤲􁘛 palms_up_hmn_b1
🤲􁘜 palms_up_hmn_b2
🤲􁘝 palms_up_hmn_b3
🤲􁘞 palms_up_hmn_v1
🤲􁘟 palms_up_hmn_v2
🤲􁘠 palms_up_hmn_v3
🤲􁘡 palms_up_hmn_m1
🤲􁘢 palms_up_hmn_m2
