🙂 slight_smile
👍️􁘕 thumbs_up_hmn_c1
👍️􁘖 thumbs_up_hmn_c2
👍️􁘗 thumbs_up_hmn_c3
👍️􁘘 thumbs_up_hmn_s1
👍️􁘙 thumbs_up_hmn_s2
👍️􁘚 thumbs_up_hmn_s3
👍️􁘛 thumbs_up_hmn_b1
👍️􁘜 thumbs_up_hmn_b2
👍️􁘝 thumbs_up_hmn_b3
👍️􁘞 thumbs_up_hmn_v1
👍️􁘟 thumbs_up_hmn_v2
👍️􁘠 thumbs_up_hmn_v3
👍️􁘡 thumbs_up_hmn_m1
👍️􁘢 thumbs_up_hmn_m2
👍️􁘣 thumbs_up_hmn_m3
👍️􁘤 thumbs_up_hmn_p1
👍️􁘥 thumbs_up_hmn_p2
👍️􁘦 thumbs_up_hmn_p3
👍️􁘧 thumbs_up_hmn_e1
👍️􁘨 thumbs_up_hmn_e2
👍️􁘩 thumbs_up_hmn_e3
👍️􁘪 thumbs_up_hmn_k1
👍️􁘫 thumbs_up_hmn_k2
👍️􁘬 thumbs_up_hmn_k3
👍️🏿 thumbs_up_hmn_h1
👍️🏾 thumbs_up_hmn_h2
👍️🏽 thumbs_up_hmn_h3
👍️🏼 thumbs_up_hmn_h4
👍️🏻 thumbs_up_hmn_h5
👎️ thumbs_down_hmn
👎️􁘀 thumbs_down_hmn_r1
👎️􁘁 thumbs_down_hmn_r2
👎️􁘂 thumbs_down_hmn_r3
👎️􁘃 thumbs_down_hmn_d1
👎️􁘄 thumbs_down_hmn_d2
👎️􁘅 thumbs_down_hmn_d3
👎️􁘆 thumbs_down_hmn_o1
👎️􁘇 thumbs_down_hmn_o2
👎️􁘈 thumbs_down_hmn_o3
👎️􁘉 thumbs_down_hmn_y1
👎️􁘊 thumbs_down_hmn_y2
👎️􁘋 thumbs_down_hmn_y3
👎️􁘌 thumbs_down_hmn_l1
👎️􁘍 thumbs_down_hmn_l2
👎️􁘎 thumbs_down_hmn_l3
👎️􁘏 thumbs_down_hmn_g1
👎️􁘐 thumbs_down_hmn_g2
👎️􁘑 thumbs_down_hmn_g3
👎️􁘒 thumbs_down_hmn_t1
👎️􁘓 thumbs_down_hmn_t2
👎️􁘔 thumbs_down_hmn_t3
👎️􁘕 thumbs_down_hmn_c1
👎️􁘖 thumbs_down_hmn_c2
👎️􁘗 thumbs_down_hmn_c3
👎️􁘘 thumbs_down_hmn_s1
👎️􁘙 thumbs_down_hmn_s2
👎️􁘚 thumbs_down_hmn_s3
👎️􁘛 thumbs_down_hmn_b1
👎️􁘜 thumbs_down_hmn_b2
👎️􁘝 thumbs_down_hmn_b3
👎️􁘞 thumbs_down_hmn_v1
👎️􁘟 thumbs_down_hmn_v2
👎️􁘠 thumbs_down_hmn_v3
👎️􁘡 thumbs_down_hmn_m1
👎️􁘢 thumbs_down_hmn_m2
👎️􁘣 thumbs_down_hmn_m3
👎️􁘤 thumbs_down_hmn_p1
👎️􁘥 thumbs_down_hmn_p2
👎️􁘦 thumbs_down_hmn_p3
👎️􁘧 thumbs_down_hmn_e1
👎️􁘨 thumbs_down_hmn_e2
👎️􁘩 thumbs_down_hmn_e3
👎️􁘪 thumbs_down_hmn_k1
👎️􁘫 thumbs_down_hmn_k2
👎️􁘬 thumbs_down_hmn_k3
👎️🏿 thumbs_down_hmn_h1
👎️🏾 thumbs_down_hmn_h2
👎️🏽 thumbs_down_hmn_h3
👎️🏼 thumbs_down_hmn_h4
👎️🏻 thumbs_down_hmn_h5
🤙 call_me_hmn
🤙􁘀 call_me_hmn_r1
🤙􁘁 call_me_hmn_r2
🤙􁘂 call_me_hmn_r3
🤙􁘃 call_me_hmn_d1
🤙􁘄 call_me_hmn_d2
🤙􁘅 call_me_hmn_d3
🤙􁘆 call_me_hmn_o1
🤙􁘇 call_me_hmn_o2
🤙􁘈 call_me_hmn_o3
🤙􁘉 call_me_hmn_y1
🤙􁘊 call_me_hmn_y2
🤙􁘋 call_me_hmn_y3
🤙􁘌 call_me_hmn_l1
🤙􁘍 call_me_hmn_l2
🤙􁘎 call_me_hmn_l3
🤙􁘏 call_me_hmn_g1
🤙􁘐 call_me_hmn_g2
🤙􁘑 call_me_hmn_g3
🤙􁘒 call_me_hmn_t1
🤙􁘓 call_me_hmn_t2
🤙􁘔 call_me_hmn_t3
🤙􁘕 call_me_hmn_c1
🤙􁘖 call_me_hmn_c2
🤙􁘗 call_me_hmn_c3
🤙􁘘 call_me_hmn_s1
🤙􁘙 call_me_hmn_s2
🤙􁘚 call_me_hmn_s3
🤙􁘛 call_me_hmn_b1
🤙􁘜 call_me_hmn_b2
🤙􁘝 call_me_hmn_b3
🤙􁘞 call_me_hmn_v1
🤙􁘟 call_me_hmn_v2
🤙􁘠 call_me_hmn_v3
🤙􁘡 call_me_hmn_m1
🤙􁘢 call_me_hmn_m2
🤙􁘣 call_me_hmn_m3
🤙􁘤 call_me_hmn_p1
🤙􁘥 call_me_hmn_p2
🤙􁘦 call_me_hmn_p3
🤙􁘧 call_me_hmn_e1
🤙􁘨 call_me_hmn_e2
🤙􁘩 call_me_hmn_e3
🤙􁘪 call_me_hmn_k1
🤙􁘫 call_me_hmn_k2
🤙􁘬 call_me_hmn_k3
🤙🏿 call_me_hmn_h1
🤙🏾 call_me_hmn_h2
🤙🏽 call_me_hmn_h3
🤙🏼 call_me_hmn_h4
🤙🏻 call_me_hmn_h5
🖕 middle_finger_hmn
🖕􁘀 middle_finger_hmn_r1
🖕􁘁 middle_finger_hmn_r2
🖕􁘂 middle_finger_hmn_r3
🖕􁘃 middle_finger_hmn_d1
🖕􁘄 middle_finger_hmn_d2
🖕􁘅 middle_finger_hmn_d3
🖕􁘆 middle_finger_hmn_o1
🖕􁘇 middle_finger_hmn_o2
🖕􁘈 middle_finger_hmn_o3
🖕􁘉 middle_finger_hmn_y1
🖕􁘊 middle_finger_hmn_y2
🖕􁘋 middle_finger_hmn_y3
🖕􁘌 middle_finger_hmn_l1
🖕􁘍 middle_finger_hmn_l2
🖕􁘎 middle_finger_hmn_l3
🖕􁘏 middle_finger_hmn_g1
🖕􁘐 middle_finger_hmn_g2
🖕􁘑 middle_finger_hmn_g3
🖕􁘒 middle_finger_hmn_t1
🖕􁘓 middle_finger_hmn_t2
🖕􁘔 middle_finger_hmn_t3
🖕􁘕 middle_finger_hmn_c1
🖕􁘖 middle_finger_hmn_c2
🖕􁘗 middle_finger_hmn_c3
🖕􁘘 middle_finger_hmn_s1
🖕􁘙 middle_finger_hmn_s2
🖕􁘚 middle_finger_hmn_s3
🖕􁘛 middle_finger_hmn_b1
🖕􁘜 middle_finger_hmn_b2
🖕􁘝 middle_finger_hmn_b3
🖕􁘞 middle_finger_hmn_v1
🖕􁘟 middle_finger_hmn_v2
🖕􁘠 middle_finger_hmn_v3
🖕􁘡 middle_finger_hmn_m1
🖕􁘢 middle_finger_hmn_m2
🖕􁘣 middle_finger_hmn_m3
🖕􁘤 middle_finger_hmn_p1
🖕􁘥 middle_finger_hmn_p2
🖕􁘦 middle_finger_hmn_p3
🖕􁘧 middle_finger_hmn_e1
🖕􁘨 middle_finger_hmn_e2
🖕􁘩 middle_finger_hmn_e3
🖕􁘪 middle_finger_hmn_k1
🖕􁘫 middle_finger_hmn_k2
🖕􁘬 middle_finger_hmn_k3
🖕🏿 middle_finger_hmn_h1
🖕🏾 middle_finger_hmn_h2
🖕🏽 middle_finger_hmn_h3
🖕🏼 middle_finger_hmn_h4
🖕🏻 middle_finger_hmn_h5
👆️ point_up_hmn
👆️􁘀 point_up_hmn_r1
👆️􁘁 point_up_hmn_r2
👆️􁘂 point_up_hmn_r3
👆️􁘃 point_up_hmn_d1
👆️􁘄 point_up_hmn_d2
👆️􁘅 point_up_hmn_d3
👆️􁘆 point_up_hmn_o1
👆️􁘇 point_up_hmn_o2
👆️􁘈 point_up_hmn_o3
👆️􁘉 point_up_hmn_y1
👆️􁘊 point_up_hmn_y2
👆️􁘋 point_up_hmn_y3
👆️􁘌 point_up_hmn_l1
👆️􁘍 point_up_hmn_l2
👆️􁘎 point_up_hmn_l3
👆️􁘏 point_up_hmn_g1
👆️􁘐 point_up_hmn_g2
👆️􁘑 point_up_hmn_g3
👆️􁘒 point_up_hmn_t1
👆️􁘓 point_up_hmn_t2
👆️􁘔 point_up_hmn_t3
👆️􁘕 point_up_hmn_c1
👆️􁘖 point_up_hmn_c2
👆️􁘗 point_up_hmn_c3
👆️􁘘 point_up_hmn_s1
